"projectID";"physUrl";"id";"availableLanguages";"status";"archivedDate";"type";"source";"represents"
"101096775";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e50ea499f2&appId=PPGMS";"e36d16b6d5e3259725444372012e7da6";"en";"";"";"projectDeliverable";"corda";""
"101096775";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e509569f80&appId=PPGMS";"35ba601b5d22205f4ccc50bc76b3edfe";"en";"";"";"projectDeliverable";"corda";"project"
"101096775";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e511571769&appId=PPGMS";"ff4073a2eb1afd28910289903980fa34";"en";"";"";"projectDeliverable";"corda";""
"101096775";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e50ea4dcca&appId=PPGMS";"75e8679b4031409048466221e2bb73b5";"en";"";"";"projectDeliverable";"corda";""
"101096775";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e509505c6f&appId=PPGMS";"89b394ac50f01d18088d4fad4647b919";"en";"";"";"projectDeliverable";"corda";"project"
"101096775";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e503aa8f90&appId=PPGMS";"049ad3559624443c806d6719011334e5";"en";"";"";"projectDeliverable";"corda";"project"
"101096775";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5077c021f&appId=PPGMS";"6045027013f5a4648e6cc34fb127a1ba";"en";"";"";"projectDeliverable";"corda";"project"
"101096390";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5ff55d5ff&appId=PPGMS";"7a8334c4145abde0057d22bb432a306d";"en";"";"";"projectDeliverable";"corda";"project"
"101096390";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e507f4fef4&appId=PPGMS";"f1ef02313c4fc1e2d272a716c87cf67f";"en";"";"";"projectDeliverable";"corda";"project"
"101096390";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5ff55cedf&appId=PPGMS";"513a90c8dcea25ef37cf9b104aa6d2ef";"en";"";"";"projectDeliverable";"corda";"project"
"101096390";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e507f50778&appId=PPGMS";"48377db909a8aed3cb2f7845f706bbe2";"en";"";"";"projectDeliverable";"corda";"project"
"101096390";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5ff55d601&appId=PPGMS";"fa889c012d6b78b6f28e8aa4c9de00bc";"en";"";"";"projectDeliverable";"corda";"project"
"101096390";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e51280b787&appId=PPGMS";"f9b0326aaf25885ae687849a39f21040";"en";"";"";"projectDeliverable";"corda";""
"101096390";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e51556486f&appId=PPGMS";"d97c3e48f4d7c97ca600a946ac2e3853";"en";"";"";"projectDeliverable";"corda";""
"101096390";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e50ea2eda8&appId=PPGMS";"0b25d35231c5ee821ded246c445402a2";"en";"";"";"projectDeliverable";"corda";""
"101096390";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5101c5c62&appId=PPGMS";"b638e3a2407183417ce66aaf447eda4a";"en";"";"";"projectDeliverable";"corda";""
"101096390";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e500ceab7b&appId=PPGMS";"02760d4e9c75bb2fc318a876804c5b08";"en";"";"";"projectDeliverable";"corda";"project"
"101096390";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e50ea2e614&appId=PPGMS";"3171270f4065e2aa82d79f45e6da38c9";"en";"";"";"projectDeliverable";"corda";""
"101114356";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e519dc18d4&appId=PPGMS";"20d6eb965ee4b5ca15a025cfa0dcc49c";"en";"";"";"projectDeliverable";"corda";""
"101114356";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e511f3a911&appId=PPGMS";"3c8ff08e4c7188c328579107469a960b";"en";"";"";"projectDeliverable";"corda";""
"101114356";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e51144cefa&appId=PPGMS";"b49d098395077eabd57e80a31235a747";"en";"";"";"projectDeliverable";"corda";""
"101114356";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e511f4614b&appId=PPGMS";"55512626c25b48d1b06b6d66cf8c0a43";"en";"";"";"projectDeliverable";"corda";""
"101114356";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e50da6ec50&appId=PPGMS";"fa38c62396b1d77ebe8a1b265837b3b0";"en";"";"";"projectDeliverable";"corda";""
"101114356";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e511f3a1bc&appId=PPGMS";"8ee7fcc7388f5a69887d311fad821fca";"en";"";"";"projectDeliverable";"corda";""
"101114356";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e51b6634fc&appId=PPGMS";"d74058e23b6031a42df82f50794aa6d9";"en";"";"";"projectDeliverable";"corda";""
"101114167";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e50ec138ba&appId=PPGMS";"11d42331d3dc1cbd785e4a1debacc916";"en";"";"";"projectDeliverable";"corda";""
"101114167";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5151e88b0&appId=PPGMS";"40f4c0f236d9544fad6a5550c6f1a143";"en";"";"";"projectDeliverable";"corda";""
"101114167";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e50ec14d4a&appId=PPGMS";"1f6678775001a63ab5777d57d2009d2b";"en";"";"";"projectDeliverable";"corda";""
"101114167";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e512a2b04a&appId=PPGMS";"688688ac1d0567d1c617dbd9fad6cff6";"en";"";"";"projectDeliverable";"corda";""
"101114167";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e50ec127cb&appId=PPGMS";"1b9ececc928528284cf28219e399fb48";"en";"";"";"projectDeliverable";"corda";""
"101097010";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e50d9c40b7&appId=PPGMS";"76068a2deab18fad40458f7385c77d21";"en";"";"";"projectDeliverable";"corda";""
"101097010";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5132f7dd2&appId=PPGMS";"01742be4adbc75e26534e9ebf7a9aba1";"en";"";"";"projectDeliverable";"corda";""
"101097010";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5fead3b70&appId=PPGMS";"936061e2d2a0c44bc2843cd9941d0a39";"en";"";"";"projectDeliverable";"corda";"project"
"101097010";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f918f205&appId=PPGMS";"ed4d751dce9de611e93c1bd097dfc460";"en";"";"";"projectDeliverable";"corda";"project"
"101097010";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5fa859d4f&appId=PPGMS";"775fe3844a2ea9adb269c754e698227c";"en";"";"";"projectDeliverable";"corda";"project"
"101097010";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5133f9d18&appId=PPGMS";"779af2b9c54284e3de17856233832be9";"en";"";"";"projectDeliverable";"corda";""
"101097010";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e50312a3d9&appId=PPGMS";"81a02eab1c3c11828f0563306b962601";"en";"";"";"projectDeliverable";"corda";"project"
"101097010";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5feaf1e5d&appId=PPGMS";"7d5fa64c96b73af701952cccab748565";"en";"";"";"projectDeliverable";"corda";"project"
"101097010";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f91c400c&appId=PPGMS";"79a48f259fa843bff5fb0b3e27b06dfe";"en";"";"";"projectDeliverable";"corda";"project"
"101097010";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e510984399&appId=PPGMS";"d16d271b57f030548f302aebff2a2c56";"en";"";"";"projectDeliverable";"corda";""
"101097010";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e503128e3e&appId=PPGMS";"554f09d31a0b4bafecdcecb61cdd2c59";"en";"";"";"projectDeliverable";"corda";"project"
"101097010";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5160eebf5&appId=PPGMS";"e284e9893088c13ca057707ba8c2a85e";"en";"";"";"projectDeliverable";"corda";""
"101097010";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5feaaa5d5&appId=PPGMS";"f115fa7da027075347e9e774548ed5dc";"en";"";"";"projectDeliverable";"corda";"project"
"101097010";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e50b24dfcb&appId=PPGMS";"b7f5744778472f2943ed1eb9e14ebe93";"en";"";"";"projectDeliverable";"corda";""
"101097010";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5031293b3&appId=PPGMS";"a18cee9a406432725e7bc2722f6de2d9";"en";"";"";"projectDeliverable";"corda";"project"
"101072248";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e500c73473&appId=PPGMS";"521c3706142bc7c77782881c4d394b25";"en";"";"";"projectDeliverable";"corda";"project"
"101072248";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5156ff6ab&appId=PPGMS";"4fb8c463720219507a924f9033123297";"en";"";"";"projectDeliverable";"corda";""
"101072248";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5095c5e1c&appId=PPGMS";"9e62b8a8689cf7dffb6ba604f226b601";"en";"";"";"projectDeliverable";"corda";""
"101072248";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5095c38b3&appId=PPGMS";"243ad755ead1068967202e9af5c80924";"en";"";"";"projectDeliverable";"corda";""
"101072248";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f8740b60&appId=PPGMS";"89bc416f57cdbdac5504f3312e897f96";"en";"";"";"projectDeliverable";"corda";"project"
